,1.txt,10.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt
highest,4,0,0,0,3,0,0,1,0,3
remains,2,1,0,0,0,0,0,0,0,0
mostly,4,0,0,0,0,0,0,0,0,0
ania,2,0,0,0,0,0,0,0,0,0
wajnberg,4,0,0,0,0,0,0,0,0,0
icahn,3,0,0,0,0,0,0,0,0,0
sinai,3,0,0,0,0,0,0,0,0,0
later,12,0,0,0,0,0,0,1,0,0
date,1,0,0,4,0,0,0,0,0,1
stable,1,0,0,0,0,0,0,0,0,1
modest,2,0,0,0,0,0,0,0,0,1
decline,4,0,0,0,0,1,0,0,0,5
shield,5,0,0,0,0,0,0,0,0,0
raccoon,4,0,0,0,0,0,0,0,0,0
dog,17,0,0,0,0,0,0,0,0,0
nyctereutes,1,0,0,0,0,0,0,0,0,0
procyonoides,1,0,0,0,0,0,0,0,0,0
conrad,1,0,0,0,0,0,0,0,0,0
freuling,2,0,0,0,0,0,0,0,0,0
friedrich,1,0,0,0,0,0,0,0,0,0
loeffler,1,0,0,0,0,0,0,0,0,0
riems,1,0,0,0,0,0,0,0,0,0
germany,5,0,0,0,0,0,0,0,0,1
deliberately,1,0,0,0,0,0,0,0,0,0
emerg,4,0,0,0,0,0,0,0,0,0
shedding,2,1,0,0,0,0,0,0,0,0
put,2,0,0,0,0,0,0,0,1,0
cage,1,0,0,0,0,0,0,0,0,0
got,2,0,0,0,0,0,0,0,0,0
visibly,1,0,0,0,0,0,0,0,0,0
sick,2,0,0,0,0,0,0,0,0,0
lethargic,1,0,0,0,0,0,0,0,0,0
these,5,2,1,2,2,1,0,3,0,3
fur,1,0,0,0,0,0,0,0,0,0
captivity,1,0,0,0,0,0,0,0,0,0
acute,4,3,3,3,2,2,0,3,3,55
syndrome,6,0,3,2,2,2,0,2,0,6
canid,1,0,0,0,0,0,0,0,0,0
basketball,3,0,0,0,0,0,0,0,0,0
star,1,0,0,0,0,0,0,0,0,0
score,1,0,0,0,0,8,0,0,0,22
insight,1,1,0,0,0,0,0,1,0,0
professional,2,0,0,0,0,0,0,0,0,0
player,2,0,0,0,0,0,0,0,0,0
detail,1,4,0,2,1,5,0,0,0,1
poorly,2,0,0,0,0,0,0,0,0,0
understood,1,0,0,1,0,0,0,0,0,0
phase,4,12,0,3,16,4,2,1,0,34
cycle,1,0,0,0,0,2,0,0,0,0
behaviour,2,0,0,0,0,0,0,0,0,0
newly,1,0,0,0,0,0,0,0,0,3
after,13,0,2,0,1,1,0,1,0,3
hiatus,1,0,0,0,0,0,0,0,0,0
game,1,0,0,0,0,0,0,0,0,0
resumed,1,0,0,0,0,0,0,0,0,0
before,2,0,0,0,0,0,0,0,0,0
restarted,1,0,0,0,0,0,0,0,0,0
athlete,1,0,0,0,0,0,0,0,0,0
staff,15,0,0,0,0,0,2,0,6,2
checked,1,0,0,0,0,0,0,0,0,0
highly,8,0,0,0,0,1,0,5,0,0
chance,3,0,0,0,0,0,0,0,3,0
monitor,2,0,0,0,0,0,0,0,0,0
felt,3,0,0,0,0,0,0,0,0,0
stephen,2,0,0,0,0,0,0,0,0,0
kissler,5,0,0,0,0,0,0,0,0,0
chan,5,0,0,0,0,0,0,0,0,0
season,3,0,0,0,0,0,0,0,0,0
falling,1,1,0,0,0,0,0,0,0,0
information,5,0,1,2,1,1,0,0,0,2
decision,1,0,0,1,0,0,1,0,0,1
streamlines,1,0,0,0,0,0,0,0,0,0
pooled,3,0,0,0,1,3,0,0,0,0
batch,2,0,0,0,0,0,0,0,0,0
shown,4,1,2,3,5,1,0,0,0,7
theory,1,0,0,0,0,0,0,0,0,0
predicted,1,2,0,0,1,4,0,0,0,3
moran,1,0,0,0,0,0,0,0,0,0
yassour,1,0,0,0,0,0,0,0,0,0
hebrew,1,0,0,0,0,0,0,0,0,0
jerusalem,3,0,0,0,0,0,0,0,0,0
pooling,1,0,0,0,0,0,0,0,0,0
barak,1,0,0,0,0,0,0,0,0,0
if,5,6,0,2,0,2,0,0,2,1
constituent,1,0,0,0,0,0,0,0,0,0
needed,7,1,2,2,1,0,1,0,0,2
individually,1,0,0,0,0,0,0,0,0,0
expected,1,2,1,0,1,0,0,0,2,0
tend,6,0,0,0,0,0,0,0,0,0
increasing,1,0,0,0,0,0,0,0,0,0
likelihood,1,0,0,4,3,0,0,0,0,0
promising,3,0,0,0,0,1,0,0,0,0
mute,1,0,0,0,0,0,0,0,0,0
dealing,1,0,0,0,0,0,0,0,0,0
blow,1,0,0,0,0,0,0,0,0,0
hypothesis,2,1,0,2,10,0,0,0,0,0
launch,3,0,0,0,0,0,0,0,0,0
excessive,1,0,0,0,0,0,0,0,0,0
grave,1,0,0,0,0,0,0,0,0,0
overly,1,0,0,0,0,0,0,0,0,0
vigorous,2,0,0,0,0,0,0,0,0,0
bolstered,1,0,0,0,0,0,0,0,0,0
association,1,0,0,0,1,2,0,1,0,13
john,5,0,0,0,0,0,0,0,0,0
stone,2,0,0,0,0,0,0,0,0,0
tried,1,0,0,0,0,0,0,0,0,0
dampen,1,0,0,0,0,0,0,0,0,0
treating,5,0,1,1,0,1,0,0,0,0
tocilizumab,2,0,0,56,0,0,0,0,0,0
interferes,1,0,0,0,0,0,0,0,0,0
randomized,2,0,5,4,1,2,0,0,0,0
controlled,1,0,1,0,0,1,0,0,0,0
rule,1,0,0,0,1,0,0,0,0,0
possibility,1,1,0,0,0,0,0,0,0,0
larger,3,0,2,1,1,0,0,0,0,2
statistical,1,0,2,1,7,5,0,0,0,1
uncover,1,0,0,0,0,0,0,0,0,0
genomics,3,0,0,0,0,0,0,0,0,0
tie,1,0,0,0,0,0,0,0,0,0
explosive,2,0,0,0,0,0,0,0,0,0
young,7,3,0,0,0,0,0,0,0,0
town,7,0,0,0,0,0,0,0,0,0
spilt,1,0,0,0,0,0,0,0,0,0
surrounding,1,0,0,0,0,0,0,0,0,0
local,4,0,0,4,1,0,0,0,0,0
official,7,0,0,0,0,0,1,0,0,0
warned,1,0,0,0,0,0,0,0,0,0
easily,4,0,0,0,0,0,0,0,0,0
cascade,1,0,0,0,0,0,0,0,0,0
that,6,0,0,0,0,0,0,0,0,0
crosse,3,0,0,0,0,0,0,0,0,0
wisconsin,1,0,0,0,0,0,0,0,0,0
paraic,1,0,0,0,0,0,0,0,0,0
kenny,1,0,0,0,0,0,0,0,0,0
gundersen,1,0,0,0,0,0,0,0,0,0
foundation,3,0,2,0,0,0,0,0,0,8
county,3,0,0,0,0,1,0,0,0,0
spiked,1,0,0,0,0,0,0,0,0,0
student,15,0,0,0,0,0,0,0,0,0
richmond,1,0,0,0,0,0,0,0,0,0
overwhelming,1,0,0,0,0,0,0,0,0,0
cluster,8,0,0,0,0,0,0,0,0,0
packed,3,0,0,0,0,0,0,0,0,0
party,2,0,0,0,0,0,0,0,0,0
indoors,1,0,0,0,0,0,0,0,0,0
outdoors,2,0,0,0,0,0,0,0,0,0
passed,5,0,0,0,0,0,0,0,1,0
peak,6,0,0,0,0,0,0,0,0,0
doctor,4,0,0,0,0,0,0,0,0,0
load,9,1,0,0,38,37,0,0,0,0
indicator,3,0,0,0,0,0,0,0,0,0
james,2,0,0,0,0,0,0,0,0,0
hay,2,0,0,0,0,0,0,0,0,0
correlate,2,0,2,0,0,1,0,1,0,0
j,5,0,0,0,0,0,0,0,0,0
therefore,3,2,1,1,4,1,0,2,0,0
longer,5,4,3,0,0,0,0,0,2,1
snapshot,2,0,0,0,0,0,0,0,0,0
distribution,4,3,1,0,0,0,1,0,0,2
random,1,0,0,0,0,0,0,0,0,1
rise,2,1,0,0,0,0,0,0,0,0
susceptible,9,0,0,0,0,0,0,0,0,0
bias,3,0,0,0,0,0,0,0,0,0
changing,4,0,0,0,0,0,0,0,0,0
practice,5,0,0,2,2,0,0,0,2,0
simply,1,0,0,0,0,1,0,0,1,0
counting,1,0,0,0,0,0,0,0,0,0
are,1,0,0,0,0,0,0,0,0,0
depends,1,3,0,0,0,0,0,0,0,0
minute,1,0,2,0,0,0,0,0,0,0
market,1,0,0,0,0,0,0,0,0,0
equally,1,0,1,0,0,1,0,0,0,0
detecting,3,0,0,0,0,0,0,0,0,0
inexpensive,1,0,2,0,0,0,0,0,0,0
marion,2,0,0,0,0,0,0,0,0,0
koopmans,2,0,0,0,0,0,0,0,0,0
erasmus,2,0,0,0,0,0,0,0,0,0
rotterdam,2,0,0,0,0,0,0,0,0,0
slow,4,0,0,0,1,0,0,0,0,0
beek,1,0,0,0,0,0,0,0,0,0
came,3,0,0,0,0,0,0,0,0,0
picking,1,0,0,0,0,0,0,0,0,0
shrug,1,0,0,0,0,0,0,0,0,0
temperature,1,0,1,0,0,0,0,0,0,0
arrival,10,0,0,0,0,0,0,0,0,0
spring,3,0,0,0,0,0,0,0,0,0
summer,3,0,0,0,0,0,0,0,0,0
stage,3,0,2,0,1,0,0,0,0,1
influenza,6,2,0,0,0,0,4,0,0,0
survive,1,0,0,0,0,0,0,0,0,0
dry,4,0,1,0,0,0,0,0,0,0
warmer,1,0,0,0,0,0,0,0,0,0
humid,1,0,0,0,0,0,0,0,0,0
environment,1,0,0,0,0,0,0,0,0,0
winter,1,0,0,0,0,0,0,0,0,0
picture,1,0,0,0,0,0,0,0,0,0
see,1,7,4,0,2,0,0,0,0,0
affected,3,0,1,3,0,0,1,0,0,0
canelle,1,0,0,0,0,0,0,0,0,0
poirier,2,0,0,0,0,0,0,0,0,0
mauricio,1,0,0,0,0,0,0,0,0,0
santillana,1,0,0,0,0,0,0,0,0,0
created,4,0,0,0,0,0,1,0,0,0
incorporating,2,1,0,0,0,0,0,0,0,0
sci,1,0,0,0,0,0,0,0,0,0
weather,2,0,0,0,0,0,0,0,0,0
domestic,2,0,0,0,0,0,0,0,0,0
travel,6,0,0,0,0,0,0,0,1,0
instigated,1,0,0,0,0,0,0,0,0,0
government,2,0,0,0,0,0,5,0,0,0
variability,1,0,0,0,0,0,0,0,0,0
continued,1,3,1,1,0,1,0,0,0,0
climate,2,0,0,0,0,0,0,0,0,0
build,1,0,1,0,0,0,0,0,0,0
worked,2,0,0,0,0,0,0,0,0,0
experimental,6,3,1,0,0,0,0,0,0,0
led,15,0,0,1,1,0,0,0,1,0
pamela,1,0,0,0,0,0,0,0,0,0
bjorkman,1,0,0,0,0,0,0,0,0,0
technology,3,0,0,0,0,0,0,0,0,3
pasadena,1,0,0,0,0,0,0,0,0,0
determined,4,2,0,3,0,0,0,0,0,0
shape,4,0,0,0,0,0,0,0,0,0
attached,1,0,0,0,0,0,0,0,0,0
gain,3,0,0,0,1,1,0,0,0,0
foothold,2,0,0,0,0,0,0,0,0,0
barnes,1,0,0,0,0,0,0,0,0,0
divided,1,0,0,1,1,1,0,0,0,1
further,2,0,0,0,1,0,0,0,0,1
allow,6,0,0,1,1,0,0,0,5,1
foil,2,0,0,0,0,0,0,0,0,0
archived,1,0,0,0,0,0,0,0,0,0
bear,1,0,0,0,0,0,0,0,0,0
hope,4,0,0,0,0,0,0,0,0,0
paul,3,0,0,0,0,0,0,0,0,0
bieniasz,2,0,0,0,0,0,0,0,0,0
theodora,2,0,0,0,0,0,0,0,0,0
hatziioannou,2,0,0,0,0,0,0,0,0,0
rockefeller,4,0,0,0,0,0,0,0,0,0
poston,1,0,0,0,0,0,0,0,0,0
hybrid,2,0,0,0,0,0,0,0,0,0
engineered,5,0,0,0,0,0,0,0,0,0
crucial,5,0,0,0,0,0,0,0,0,0
invasion,4,0,0,0,0,0,0,0,0,0
role,5,0,0,2,1,0,0,0,0,1
determining,1,0,0,0,0,0,0,0,0,0
fare,1,0,0,0,0,0,0,0,0,0
worse,2,0,0,1,0,0,0,0,0,1
dense,1,0,0,0,0,0,0,0,0,0
brace,1,0,0,0,0,0,0,0,0,0
tear,1,0,0,0,0,0,0,0,0,0
generally,3,0,0,2,0,0,0,0,0,0
take,6,2,1,0,0,0,1,0,1,0
spreading,4,0,0,0,0,0,0,0,0,0
crowded,3,0,0,0,0,0,1,0,0,0
neighbourhood,7,0,0,0,0,0,0,0,0,0
intermingle,1,0,0,0,0,0,0,0,0,0
ultimately,1,0,0,0,0,0,0,0,1,0
moritz,1,0,0,0,0,0,0,0,0,0
kraemer,1,0,0,0,0,0,0,0,0,0
size,1,0,5,0,0,1,0,0,2,1
density,1,0,0,0,0,0,0,0,0,1
rader,1,0,0,0,0,0,0,0,0,0
validated,2,0,0,0,0,1,0,0,0,2
comparing,1,0,0,0,0,0,0,0,0,0
output,2,0,0,0,0,0,0,0,0,0
known,13,1,0,0,0,1,1,0,0,0
movement,2,0,0,0,0,0,0,1,0,0
chinese,1,0,0,0,0,0,0,0,0,4
wuhan,5,0,0,0,0,0,0,0,1,6
densely,2,0,0,0,0,0,0,0,0,0
italy,13,0,0,0,0,0,0,3,0,0
predicts,1,4,0,0,0,0,0,0,0,0
short,4,2,0,0,0,0,0,0,3,2
intense,1,0,0,0,0,0,0,0,0,0
uncrowded,1,0,0,0,0,0,0,0,0,0
stick,1,0,0,0,0,0,0,0,0,0
rather,6,0,0,0,0,0,0,0,0,0
mingling,1,0,0,0,0,0,0,0,0,0
freely,1,0,0,0,0,0,0,1,0,3
however,6,6,2,3,1,7,2,1,2,6
cope,1,0,0,0,0,0,0,0,0,0
countryside,1,0,0,0,0,0,0,0,0,0
worldwide,3,0,1,0,0,0,0,1,0,0
ulaanbaatar,1,0,0,0,0,0,0,0,0,0
mongolia,1,0,0,0,0,0,0,0,0,0
expect,2,1,0,0,0,0,0,0,0,0
explosion,1,0,0,0,0,0,0,0,0,0
settled,1,0,0,0,0,0,0,0,0,0
urban,1,0,0,0,0,0,0,0,0,0
centre,9,0,0,0,0,0,0,1,0,0
madrid,3,0,0,0,0,0,0,0,0,0
protracted,1,0,0,0,0,0,0,0,0,0
teenager,2,0,0,0,0,0,0,0,0,0
holiday,2,0,0,0,0,0,0,0,0,0
girl,3,0,0,0,0,0,0,0,0,0
grandparent,1,0,0,0,0,0,0,0,0,0
occupied,1,0,0,0,0,0,0,0,0,0
house,5,0,0,0,0,0,0,0,0,0
confirming,1,0,0,0,0,0,0,0,0,0
adolescent,2,0,0,0,0,0,0,0,0,0
seed,3,0,0,0,0,0,0,0,0,0
investigation,2,0,1,0,0,0,1,1,0,2
noah,1,0,0,0,0,0,0,0,0,0
schwartz,2,0,0,0,0,0,0,0,0,0
joined,1,0,0,0,0,0,0,0,0,0
stay,3,0,0,0,0,0,0,0,0,16
wore,2,0,0,0,0,0,0,0,0,0
mask,13,0,0,0,0,0,0,0,0,0
maintained,1,1,1,0,0,1,0,0,0,0
distance,2,0,0,0,0,0,0,0,0,6
twelve,3,0,0,0,0,0,0,0,0,0
teenage,1,0,0,0,0,0,0,0,0,0
classified,1,0,0,0,1,0,0,1,0,1
probable,5,0,0,0,0,0,0,0,0,0
visited,2,0,1,0,0,0,0,0,0,0
staying,1,0,0,0,0,0,0,0,0,0
remained,2,0,0,0,0,0,0,0,0,0
kept,3,0,0,0,0,0,0,0,0,0
massive,6,0,0,0,0,0,0,0,0,0
effort,7,0,0,0,0,0,0,0,0,1
india,5,0,0,0,0,0,0,0,0,0
reveals,5,0,0,0,0,0,0,0,0,0
striking,3,0,0,0,1,0,0,0,0,0
trend,1,0,0,0,1,1,0,0,0,0
differ,1,3,0,0,0,0,0,0,0,0
starkly,1,0,0,0,0,0,0,0,0,0
setting,4,0,0,0,0,1,1,0,1,0
wealthier,1,0,0,0,0,0,0,0,0,0
largest,4,0,0,0,1,0,0,0,0,3
far,4,1,0,0,0,0,0,0,0,0
joseph,1,0,0,0,0,0,0,0,0,0
lewnard,1,0,0,0,0,0,0,0,0,0
berkeley,2,0,0,0,0,0,0,0,0,0
numbered,1,0,0,0,0,0,0,0,0,0
tamil,1,0,0,0,0,0,0,0,0,0
nadu,1,0,0,0,0,0,0,0,0,0
andhra,1,0,0,0,0,0,0,0,0,0
pradesh,1,0,0,0,0,0,0,0,0,0
laxminarayan,1,0,0,0,0,0,0,0,0,0
incidence,2,0,0,5,2,0,0,0,1,0
steadily,1,0,0,0,0,0,0,0,0,0
climb,2,0,0,0,0,0,0,0,0,0
mortality,2,2,2,9,0,1,0,0,0,1
markedly,1,0,0,0,0,0,0,0,0,0
perhaps,2,0,2,0,0,0,0,0,0,0
old,1,0,0,0,0,0,0,0,0,0
wealthy,1,0,0,0,0,0,0,0,0,0
socialising,1,0,0,0,0,0,0,0,0,0
kid,3,0,0,0,0,0,0,0,0,0
trait,2,0,0,0,0,0,0,0,0,0
waning,1,5,0,0,0,0,0,0,0,1
sixty,1,0,0,0,0,0,0,0,0,0
milder,5,2,0,0,0,0,0,0,0,0
coughing,2,0,0,0,0,0,0,0,0,0
shortness,1,0,0,0,0,0,0,0,0,0
breath,2,0,2,0,0,0,0,0,0,0
jason,2,0,0,0,0,0,0,0,0,0
goldman,2,0,0,0,0,0,0,0,0,0
decreased,2,0,3,0,0,1,0,0,0,8
measured,3,1,0,0,2,2,0,0,0,1
measurement,1,0,0,0,1,0,0,0,0,0
benchmark,1,0,0,0,0,0,0,0,0,0
infectiousness,3,1,0,0,0,0,0,0,0,0
hamster,6,0,0,0,0,0,0,0,0,0
lacking,1,0,0,0,0,0,0,0,0,0
february,5,0,0,0,0,0,0,0,0,0
examining,1,0,0,0,0,1,0,0,0,0
alters,1,0,0,0,0,0,0,0,0,0
amino,3,0,0,0,0,0,0,0,0,0
acid,3,0,0,0,0,0,0,0,0,0
sequence,7,0,1,0,0,1,0,0,0,0
alteration,2,0,0,0,0,0,0,2,0,0
north,5,0,0,0,0,0,0,1,0,0
america,1,0,0,0,0,0,0,0,0,0
elsewhere,2,0,0,0,0,0,0,0,0,0
determine,6,1,1,0,0,2,0,0,0,1
shi,1,0,0,0,0,0,0,0,0,0
branch,2,0,0,0,0,0,0,0,0,0
galveston,1,0,0,0,0,0,0,0,0,0
plante,1,0,0,0,0,0,0,0,0,0
ralph,2,0,0,0,0,0,0,0,0,0
baric,3,0,0,0,0,0,0,0,0,0
hill,2,0,0,0,0,0,0,0,0,0
hou,2,0,0,0,0,0,0,0,0,0
both,6,0,2,0,0,0,0,0,0,0
lack,1,0,0,0,1,0,2,0,0,0
replicated,1,0,1,0,0,0,0,0,0,0
airway,3,0,0,2,0,0,0,0,0,0
promise,3,0,0,0,0,0,0,0,0,0
prominent,1,0,0,0,0,0,0,0,0,0
evan,1,0,0,0,0,0,0,0,0,0
emory,1,0,0,0,0,0,0,0,0,0
consists,2,0,0,0,0,0,0,0,0,0
piece,2,0,0,0,0,0,0,0,0,0
encodes,2,0,0,0,0,0,0,0,0,0
modified,3,0,6,9,3,0,0,0,0,2
disarm,1,0,0,0,0,0,0,0,0,0
invading,2,0,0,0,0,0,0,0,0,0
microbe,3,0,0,0,0,0,0,0,0,0
receiving,6,0,2,12,0,0,1,0,1,0
any,1,0,0,0,1,0,0,0,0,0
reinfections,5,6,0,0,0,0,0,0,0,0
reinfected,2,1,0,0,0,0,0,0,0,0
employee,1,0,0,0,2,0,2,0,0,0
gupta,1,0,0,0,0,0,0,0,0,0
vinod,1,0,0,0,0,0,0,0,0,0
scaria,1,0,0,0,0,0,0,0,0,0
integrative,1,0,0,0,0,0,0,0,0,0
delhi,1,0,0,0,0,0,0,0,0,0
genetically,3,0,0,0,0,0,0,0,0,0
anew,2,0,0,0,0,0,0,0,0,0
leftover,1,0,0,0,0,0,0,0,0,0
underreported,1,0,0,0,0,0,0,0,0,0
breakdown,1,0,0,0,0,0,0,0,0,0
dire,1,0,0,0,0,0,0,0,0,0
healthy,5,0,0,0,0,0,0,0,0,0
dysfunction,1,0,1,0,0,0,0,0,0,1
chemical,5,0,0,0,0,0,0,0,0,0
interferon,13,0,0,0,0,0,0,0,0,0
mounting,1,0,0,0,0,0,0,0,0,0
casanova,2,0,0,0,0,0,0,0,0,0
dna,12,0,0,0,0,0,0,0,0,0
looking,1,0,0,0,0,0,0,0,0,0
trigger,3,0,0,0,0,0,0,0,0,0
zhang,4,0,0,0,0,0,0,0,0,0
rendered,1,0,0,0,0,0,0,0,0,0
unable,1,0,0,0,0,0,0,0,4,6
manufacture,1,0,0,0,0,0,0,0,0,0
signalling,4,0,0,0,0,0,0,0,0,0
severely,5,0,0,0,0,0,0,0,0,3
bastard,2,0,0,0,0,0,0,0,0,0
unknown,6,0,0,1,2,1,0,0,1,3
targeted,2,0,0,0,0,1,0,0,0,0
knocked,1,0,0,0,0,0,0,0,0,0
extreme,1,0,0,0,0,0,0,0,0,1
quell,1,0,0,0,0,0,0,0,0,0
manaus,4,0,0,0,0,0,0,0,0,0
amazona,1,0,0,0,0,0,0,0,0,0
contributed,3,0,2,0,1,1,0,0,0,0
controlling,1,0,0,0,0,0,0,0,0,0
ester,1,0,0,0,0,0,0,0,0,0
sabino,1,0,0,0,0,0,0,0,0,0
são,1,0,0,0,0,0,0,0,0,0
paulo,1,0,0,0,0,0,0,0,0,0
august,14,0,0,0,1,1,1,0,0,0
bus,1,0,0,0,0,0,0,0,0,0
from,1,1,0,0,0,3,0,0,0,0
reached,3,3,0,1,0,1,0,0,0,0
herd,3,1,0,0,0,0,0,0,0,0
term,2,1,0,0,0,0,0,0,1,5
source,6,0,0,1,0,0,0,0,0,0
good,3,0,0,1,3,0,1,0,1,1
timing,3,0,0,0,0,0,0,0,0,0
disorganized,1,0,0,0,0,0,0,0,0,0
strike,1,0,0,0,0,0,0,0,0,0
adaptive,3,0,0,0,0,0,0,0,0,0
invader,3,0,0,0,0,0,0,0,0,0
principle,1,0,0,0,1,1,0,0,0,0
alessandro,3,0,0,0,0,0,0,0,0,0
sette,2,0,0,0,0,0,0,0,0,0
fatal,1,0,0,0,0,0,0,0,0,0
moderbacher,1,0,0,0,0,0,0,0,0,0
failed,1,0,1,0,0,0,0,0,0,0
entire,1,0,0,0,0,2,0,0,0,0
ramped,1,0,0,0,0,0,0,0,0,0
simultaneously,1,0,0,0,0,0,0,0,0,1
uncoordinated,1,0,0,0,0,0,0,0,0,0
weapon,1,0,0,0,0,0,0,0,0,0
passenger,3,0,0,0,0,0,0,0,0,0
strongly,2,0,0,0,2,0,0,0,0,0
married,1,0,0,0,0,0,0,0,0,0
couple,1,0,0,0,0,0,0,0,0,0
flying,1,0,0,0,0,0,0,0,0,0
hong,23,0,0,0,0,0,0,0,0,0
kong,22,0,0,0,0,0,0,0,0,0
attendant,2,0,0,0,0,0,0,0,0,0
trip,4,0,0,0,0,0,0,0,0,0
leo,2,0,0,0,0,0,0,0,0,0
poon,2,0,0,0,0,0,0,0,0,0
deborah,1,0,0,0,0,0,0,0,0,0
husband,1,0,0,0,0,0,0,0,0,0
wife,1,0,0,0,0,0,0,0,0,0
travelling,1,0,0,0,0,0,0,0,0,0
crew,7,0,0,0,0,0,0,0,0,0
cabin,3,0,0,0,0,0,0,0,0,0
assignment,1,0,1,2,2,0,0,0,0,0
travelled,1,0,0,0,0,0,0,0,0,0
canada,2,0,0,0,0,0,0,0,0,0
soon,5,0,1,0,0,0,0,0,0,0
arriving,2,0,0,0,0,0,0,0,0,0
identical,2,0,0,0,1,0,0,0,0,0
american,1,0,0,4,1,0,0,0,0,1
transmitted,3,0,0,0,0,0,0,0,0,0
supported,2,0,1,1,2,3,0,0,0,2
musician,2,0,0,0,0,0,0,0,0,0
monk,2,0,0,0,0,0,0,0,0,0
superspreading,7,0,0,0,0,0,0,0,0,0
seeded,4,0,0,0,0,0,0,0,0,0
examination,1,0,0,0,0,0,0,0,0,4
peng,2,0,0,0,0,0,0,0,0,0
wu,4,0,0,0,0,0,0,0,0,0
adam,1,0,0,0,0,1,0,0,0,0
performed,3,0,0,4,5,2,0,0,0,0
bar,2,0,0,0,0,0,0,0,0,0
triggered,1,0,0,0,0,1,0,0,0,0
biggest,1,0,0,0,0,0,0,0,0,0
temple,1,0,0,0,0,0,0,0,0,0
transmit,1,0,0,0,0,0,0,0,0,0
anyone,1,0,0,0,0,0,0,0,2,0
downstream,1,0,0,0,0,0,0,0,0,0
wedding,1,0,0,0,0,0,0,0,0,0
restaurant,2,0,0,0,0,0,0,0,0,0
decade,2,3,0,0,0,0,0,0,0,0
matter,2,0,0,0,0,0,0,0,0,0
lia,1,0,0,0,0,0,0,0,0,0
der,1,0,0,0,0,0,0,0,0,0
hoek,1,0,0,0,0,0,0,0,0,0
amsterdam,1,0,0,0,0,0,0,0,0,0
starting,3,0,1,0,0,0,0,0,0,0
edridge,1,0,0,0,0,0,0,0,0,0
groundbreaking,1,0,0,0,0,0,0,0,0,0
guide,2,0,0,0,0,0,1,0,0,0
treat,4,0,3,0,0,0,0,0,0,0
attacking,1,0,0,0,0,0,0,0,0,0
inform,3,0,0,0,0,0,0,0,0,0
development,3,1,4,0,5,0,0,0,0,7
fend,3,0,0,0,0,0,0,0,0,0
inactivate,1,0,0,0,0,0,0,0,0,0
attractive,1,0,0,0,0,0,0,0,0,0
accumulate,1,0,0,0,0,0,0,0,0,1
interfere,2,0,0,0,0,0,0,0,0,0
force,1,0,0,0,0,0,1,0,0,0
crowe,1,0,0,0,0,0,0,0,0,0
vanderbilt,1,0,0,0,0,0,0,0,0,0
nashville,1,0,0,0,0,0,0,0,0,0
tennessee,1,0,0,0,0,0,0,0,0,0
detailed,5,1,0,0,0,0,0,0,0,5
map,5,0,0,0,0,0,0,0,0,0
design,2,0,3,1,2,2,0,0,0,2
consisting,1,0,0,0,0,0,0,0,0,0
develop,10,1,0,0,0,0,0,0,0,0
childcare,4,0,0,0,0,0,0,0,0,0
utah,1,0,0,0,0,0,0,0,0,0
resulting,3,0,0,0,0,1,0,0,0,0
presumptive,1,0,0,0,0,0,0,0,0,0
cuc,1,0,0,0,0,0,0,0,0,0
tran,1,0,0,0,0,0,0,0,0,0
investigated,3,0,0,1,1,0,0,1,0,3
salt,1,0,0,0,0,0,0,0,0,0
lake,1,0,0,0,0,1,0,0,0,0
rept,1,0,0,0,0,0,0,0,0,0
at,2,1,1,0,3,2,1,0,0,5
though,3,0,0,0,0,0,0,0,0,0
year,4,8,8,7,2,3,0,4,0,4
mother,1,0,0,0,0,0,0,0,0,0
sibling,2,0,0,0,0,0,0,0,0,0
baby,1,1,0,0,0,0,0,0,0,0
parent,2,0,0,0,0,0,0,0,0,0
not,1,0,0,0,0,0,0,0,0,0
incident,2,0,0,0,0,0,0,0,0,0
occur,1,3,1,1,0,0,0,0,1,1
pass,1,0,0,0,0,0,0,0,0,0
luca,1,0,0,0,0,0,0,0,0,0
ferretti,2,0,0,0,0,0,0,0,0,0
transmitting,2,0,0,0,0,0,0,0,0,0
someone,2,0,0,0,0,0,0,0,0,0
else,1,0,0,0,0,0,0,0,0,0
around,7,1,0,0,0,0,0,0,0,0
following,2,2,1,1,2,0,1,2,0,8
underscore,2,0,1,0,0,0,0,0,0,0
importance,3,1,0,0,0,1,0,0,0,0
physical,1,0,0,0,0,0,0,0,2,8
distancing,11,3,0,0,0,0,1,0,0,0
sign,4,0,2,1,0,1,0,2,1,0
cough,4,0,1,0,0,0,0,0,0,0
fever,5,0,0,1,0,0,0,0,0,1
fatigue,1,0,1,0,0,0,0,0,0,28
surprise,1,0,0,0,0,0,0,0,0,0
tantalizing,1,0,0,0,0,0,0,0,0,0
unveiled,1,0,0,0,0,0,0,0,0,0
discovered,2,0,0,0,0,0,0,0,0,0
encoded,1,0,0,0,0,0,0,0,0,0
mysterious,1,0,0,0,0,0,0,0,0,0
until,1,0,0,0,0,0,0,0,0,0
instruction,2,0,0,0,0,0,0,0,0,0
become,9,1,1,1,0,1,0,0,0,0
active,2,0,1,2,2,0,0,0,0,0
inside,3,0,0,0,0,0,0,0,0,0
uncertain,1,0,0,0,0,0,0,0,0,0
noam,1,0,0,0,0,0,0,0,0,0
weizmann,1,0,0,0,0,0,0,0,0,0
